fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Alexia Thainara,Loma Lookboonmee,0,0,44,30,5,0,1,0,win,Alexia Thainara,Women's Strawweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Diego Lopes,Jean Silva,1,0,74,43,3,0,0,0,win,Diego Lopes,Featherweight,KO/TKO Punches,2,4:48,"San Antonio, Texas, USA"
David Martinez,Rob Font,0,0,62,49,0,0,0,0,win,David Martinez,Bantamweight,U-DEC,3,5:00,"San Antonio, Texas, USA"
Rafa Garcia,Jared Gordon,1,0,91,65,2,1,2,0,win,Rafa Garcia,Lightweight,KO/TKO Elbows,3,2:27,"San Antonio, Texas, USA"
Kelvin Gastelum,Dustin Stoltzfus,1,0,57,64,0,1,0,0,win,Kelvin Gastelum,Middleweight,U-DEC,3,5:00,"San Antonio, Texas, USA"
Alexander Hernandez,Diego Ferreira,1,0,30,23,0,0,0,0,win,Alexander Hernandez,Lightweight,KO/TKO Punches,2,3:46,"San Antonio, Texas, USA"
Santiago Luna,Quang Le,2,0,15,12,0,0,0,0,win,Santiago Luna,Bantamweight,KO/TKO Punch,1,2:48,"San Antonio, Texas, USA"
Dusko Todorovic,Jose Daniel Medina,0,0,16,9,2,0,1,0,win,Dusko Todorovic,Middleweight,SUB Rear Naked Choke,1,4:21,"San Antonio, Texas, USA"
Joaquim Silva,Claudio Puelles,1,0,25,21,0,4,1,0,win,Joaquim Silva,Lightweight,S-DEC,3,5:00,"San Antonio, Texas, USA"
Tatiana Suarez,Amanda Lemos,0,0,20,23,3,0,0,1,win,Tatiana Suarez,Women's Strawweight,U-DEC,3,5:00,"San Antonio, Texas, USA"
Jesus Aguilar,Luis Gurule,0,0,85,65,1,0,0,0,win,Jesus Aguilar,Flyweight,U-DEC,3,5:00,"San Antonio, Texas, USA"
Zach Reese,Sedriques Dumas,0,0,2,3,0,0,0,0,nc,-,Middleweight,CNC,1,0:51,"San Antonio, Texas, USA"
