fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Vitor Petrino,Thomas Petersen,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Joao Claudio Soares,2,0,31,16,1,0,0,0,win,Vitor Petrino,Heavyweight,KO/TKO Punch,3,00:00:26,False
Bia Mesquita,Irina Alekseeva,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Marc Goddard,0,0,36,6,2,0,1,0,win,Bia Mesquita,Women's Bantamweight,SUB Rear Naked Choke,2,00:02:14,False
Lucas Rocha,Stewart Nicoll,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jason Herzog,0,0,115,45,3,2,0,0,win,Lucas Rocha,Flyweight,U-DEC,3,00:05:00,False
Julia Polastri,Karolina Kowalkiewicz,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Marc Goddard,0,0,137,72,0,1,0,0,win,Julia Polastri,Women's Strawweight,KO/TKO Punches,3,00:02:56,False
Luan Lacerda,Saimon Oliveira,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jason Herzog,0,0,24,21,3,1,1,0,win,Luan Lacerda,Bantamweight,SUB Armbar,2,00:03:55,False
Alex Pereira,Magomed Ankalaev,2025-10-04,"Las Vegas, Nevada, USA",Herb Dean,0,0,28,4,0,0,0,0,win,Alex Pereira,Light Heavyweight,KO/TKO Elbows,1,00:01:20,True
Merab Dvalishvili,Cory Sandhagen,2025-10-04,"Las Vegas, Nevada, USA",Marc Goddard,0,0,114,80,20,0,0,0,win,Merab Dvalishvili,Bantamweight,U-DEC,5,00:05:00,True
Jiri Prochazka,Khalil Rountree Jr.,2025-10-04,"Las Vegas, Nevada, USA",Mark Smith,1,0,71,66,0,0,0,0,win,Jiri Prochazka,Light Heavyweight,KO/TKO Punches,3,00:03:04,False
Youssef Zalal,Josh Emmett,2025-10-04,"Las Vegas, Nevada, USA",Jason Herzog,0,0,0,0,1,0,1,0,win,Youssef Zalal,Featherweight,SUB Armbar,1,00:01:38,False
Joe Pyfer,Abus Magomedov,2025-10-04,"Las Vegas, Nevada, USA",Chris Tognoni,1,0,6,11,0,1,2,1,win,Joe Pyfer,Middleweight,SUB Rear Naked Choke,2,00:01:46,False
